seed,todos_ok,n_ok,se_puro_ok,se_m4_ok,s_puro_ok,s_m4_ok,ll_se_puro,ll_se_m4,ll_s_puro,ll_s_m4,ab_se_puro,ab_se_m4,ab_s_puro,ab_s_m4
1721260,FALSE,0,FALSE,FALSE,FALSE,FALSE,1679.9398990201237,1679.9398990201237,1364.7783500254388,1364.7783500254388,0.9863911355941415,0.9863911355941415,0.9863309744755615,0.9863309744755615
8942620,FALSE,0,FALSE,FALSE,FALSE,FALSE,1632.6512653125292,1632.6512653125292,1321.6342883481752,1321.6342883481752,0.9803406971129777,0.9803406971129777,0.988296096696837,0.988296096696837
3696316,FALSE,0,FALSE,FALSE,FALSE,FALSE,1660.2411419542739,1660.2411419542739,1246.4253996815787,1246.4253996815787,0.9876573267226593,0.9876573267226593,0.9892016472554583,0.9892016472554583
9538759,FALSE,0,FALSE,FALSE,FALSE,FALSE,1582.9275000986088,1582.9275000986088,1251.9532360378128,1251.9532360378128,0.9765311355074098,0.9765311355074098,0.9844718892664033,0.9844718892664033
8946832,FALSE,0,FALSE,FALSE,FALSE,FALSE,1583.56762566764,1583.56762566764,1325.4851419026675,1325.4851419026675,0.9895899864001645,0.9895899864001645,0.9872046717078846,0.9872046717078846
6445748,FALSE,0,FALSE,FALSE,FALSE,FALSE,1611.934449932732,1611.934449932732,1252.7247018065436,1252.7247018065436,0.9855329435781636,0.9855329435781636,0.9964967955880095,0.9964967955880095
1883878,FALSE,2,TRUE,TRUE,FALSE,FALSE,1583.780407622586,1583.780407622586,1304.9822496599302,1304.9822496599302,0.9885507206933393,0.9885507206933393,0.9880527634237644,0.9880527634237644
6273331,FALSE,0,FALSE,FALSE,FALSE,FALSE,1671.2436966820435,1671.2436966820435,1228.5109577466508,1228.5109577466508,0.9854242042684663,0.9854242042684663,0.9833990965582208,0.9833990965582208
9931693,FALSE,0,FALSE,FALSE,FALSE,FALSE,1608.6952108993132,1608.6952108993132,1294.8841083677278,1294.8841083677278,0.986751782103525,0.986751782103525,0.9821773914054629,0.9821773914054629
8275224,FALSE,2,TRUE,TRUE,FALSE,FALSE,1583.5240807530304,1583.5240807530304,1295.69730943541,1295.69730943541,0.9853851938532465,0.9853851938532465,0.987417785905428,0.987417785905428
970950,FALSE,0,FALSE,FALSE,FALSE,FALSE,1689.351057238925,1689.351057238925,1311.9134037972535,1311.9134037972535,0.9888235526390576,0.9888235526390576,0.99336980520864,0.99336980520864
9035645,FALSE,2,TRUE,TRUE,FALSE,FALSE,1565.3502580545078,1565.3502580545078,1248.263691805592,1248.263691805592,0.9882935881042297,0.9882935881042297,0.9963099962163946,0.9963099962163946
8219036,FALSE,0,FALSE,FALSE,FALSE,FALSE,1635.0343754852229,1635.0343754852229,1229.359328229795,1229.359328229795,0.9841626285517705,0.9841626285517705,0.9878477477063127,0.9878477477063127
4779443,FALSE,0,FALSE,FALSE,FALSE,FALSE,1595.3273609588207,1595.3273609588207,1229.6077991706013,1229.6077991706013,0.9817322247454267,0.9817322247454267,0.9904663782853405,0.9904663782853405
4475277,FALSE,0,FALSE,FALSE,FALSE,FALSE,1691.9192076416086,1691.9192076416086,1260.648447599787,1260.648447599787,0.9902064195519202,0.9902064195519202,0.9940868772168695,0.9940868772168695
6576462,FALSE,0,FALSE,FALSE,FALSE,FALSE,1647.102104455826,1647.102104455826,1254.479870651564,1254.479870651564,0.9787455433196404,0.9787455433196404,0.9870284486191522,0.9870284486191522
4097071,FALSE,2,TRUE,TRUE,FALSE,FALSE,1568.489769514193,1568.489769514193,1283.2911280624191,1283.2911280624191,0.9870275153521452,0.9870275153521452,0.9861074550156761,0.9861074550156761
1733414,FALSE,0,FALSE,FALSE,FALSE,FALSE,1594.0830726623537,1594.0830726623537,1305.2523822477795,1305.2523822477795,0.985459705023044,0.985459705023044,0.9904483396965995,0.9904483396965995
9094629,FALSE,0,FALSE,FALSE,FALSE,FALSE,1610.894128395958,1610.894128395958,1353.9576169310333,1353.9576169310333,0.9810458455492841,0.9810458455492841,0.9899646737418809,0.9899646737418809
5806888,FALSE,2,TRUE,TRUE,FALSE,FALSE,1591.1089610129202,1591.1089610129202,1259.2108380070115,1259.2108380070115,0.9838352375972699,0.9838352375972699,0.9889138429388642,0.9889138429388642
323306,FALSE,0,FALSE,FALSE,FALSE,FALSE,1615.7588640937033,1615.7588640937033,1237.6661504107403,1237.6661504107403,0.9774396374384455,0.9774396374384455,0.9915739146121287,0.9915739146121287
8652044,FALSE,0,FALSE,FALSE,FALSE,FALSE,1652.9156400027268,1652.9156400027268,1371.5282083901125,1371.5282083901125,0.9885331402687009,0.9885331402687009,0.9851532631220647,0.9851532631220647
2259041,FALSE,0,FALSE,FALSE,FALSE,FALSE,1610.1808701232585,1610.1808701232585,1275.6428072675196,1275.6428072675196,0.9855725379623059,0.9855725379623059,0.989484789484071,0.989484789484071
8813374,FALSE,0,FALSE,FALSE,FALSE,FALSE,1591.9406307185457,1591.9406307185457,1273.0641702675948,1273.0641702675948,0.9887227549766737,0.9887227549766737,0.9908253206523121,0.9908253206523121
7827272,FALSE,2,TRUE,TRUE,FALSE,FALSE,1741.973878440713,1741.973878440713,1278.3511535968848,1278.3511535968848,0.9881753618174836,0.9881753618174836,0.9865988182723033,0.9865988182723033
