id;ano;mes;semana_operativa;data_inicio;data_fim;ena_bruta_mw_se;ena_bruta_mw_s;ena_bruta_mw_ne;ena_bruta_mw_n;ena_bruta_mlt_se;ena_bruta_mlt_s;ena_bruta_mlt_ne;ena_bruta_mlt_n;ena_arm_mw_se;ena_arm_mw_s;ena_arm_mw_ne;ena_arm_mw_n;ena_arm_mlt_se;ena_arm_mlt_s;ena_arm_mlt_ne;ena_arm_mlt_n;vol_ena_arm_mlt_se;vol_ena_arm_mlt_s;vol_ena_arm_mlt_ne;vol_ena_arm_mlt_n;dias_contabilizados
558;2015;1;709;2015-01-03;2015-01-09;27695.7142857143;19785.7142857143;5860.42857142857;5458.42857142857;50.0257148742857;260.97857012;42.4342858457143;55.2985719957143;27494.4285714286;18449.5714285714;5842.71428571429;5454.85714285714;49.6614276328571;243.354287282857;42.3057142;55.2628566214286;2.66041053366031;57.0749151854355;3.01631011610336;1.93042954744995;7
557;2015;1;710;2015-01-10;2015-01-16;22194.1428571429;16973.8571428571;4292.71428571429;5182.28571428571;40.0885712742857;223.88999939;31.0799999228571;52.5014288785714;22023.7142857143;14677.8571428571;4275.42857142857;5155.57142857143;39.7799998671429;193.605712891429;30.95571409;52.2285717571429;3.69090801480713;23.3662263675629;3.82090703565779;1.44089528855404;7
556;2015;1;711;2015-01-17;2015-01-23;17226.7142857143;13709.1428571429;2922.28571428571;6199.85714285714;31.1142856057143;180.827144077143;21.1585715157143;62.8099986485714;16996.4285714286;10503.4285714286;2898.28571428571;6180.42857142857;30.70000049;138.544285365714;20.9857142328571;62.6142856071429;1.74209596768788;15.3549857683541;2.61267358939729;4.71458713549424;7
555;2015;1;712;2015-01-24;2015-01-30;18734.1428571429;9687.28571428571;2102.14285714286;7042.85714285714;33.8385715485714;127.77999878;15.2214286;71.3485717771429;18432.8571428571;8001;2088.28571428571;7005.28571428571;33.29428564;105.537143164286;15.1200001571429;70.9685712528571;2.85324877115056;4.54174160579444;1.37411813663653;2.12599350525029;7
554;2015;1;713;2015-01-31;2015-02-06;23133.7142857143;10303;2197.42857142857;6648.71428571429;40.3271435328571;123.778570992857;15.22714288;52.3971437742857;22858;8872.85714285714;2185.28571428571;6604.57142857143;39.8457145685714;106.572856357143;15.1428570057143;52.0342859542857;3.01370222586085;5.42466164527679;2.04837893426441;6.53609858634318;7
553;2015;2;714;2015-02-07;2015-02-13;34150.5714285714;9266.71428571429;2848.42857142857;6831;59.2042863042857;109.56285858;19.6199997485714;51.2599999585714;33852.4285714286;7770.28571428571;2837.14285714286;6786.28571428571;58.6871435985714;91.8671428157143;19.5414287042857;50.9214286814286;4.95222054449654;9.88331465338688;1.75922738087067;1.36219708652943;7
552;2015;2;715;2015-02-14;2015-02-20;37634.5714285714;10563.8571428571;4067.71428571429;7562;65.24571446;124.895713805714;28.0171427042857;56.7442850385714;37303.7142857143;9490.14285714286;4056.71428571429;7539;64.6714281342857;112.202857972857;27.94142832;56.5700002385714;3.33122414097922;8.19462006179039;3.10315674117279;2.03799792222719;7
551;2015;2;716;2015-02-21;2015-02-27;40857.4285714286;16252.8571428571;7072.85714285714;8624.42857142857;70.8314279828572;192.157143728571;48.7128568371429;64.71428735;40280.2857142857;15209.8571428571;7032.57142857143;8382.71428571429;69.8314296185714;179.827144077143;48.4357141757143;62.9028570971429;5.01483653966494;29.5175612359721;6.35859843992603;3.74183028995638;7
550;2015;2;717;2015-02-28;2015-03-06;34206.5714285714;11152.4285714286;6304.28571428571;9467.57142857143;62.5642847328572;151.269999912857;43.8357140671429;62.4371430514286;33518.2857142857;10343.5714285714;6286.14285714286;9166.85714285714;61.30428532;140.345712935714;43.7099990842857;60.4228575571429;1.83313777961171;15.0479727785343;4.67175585213964;4.81644006714101;7
549;2015;3;718;2015-03-07;2015-03-13;37813.2857142857;9292.71428571429;5018.28571428571;9219.85714285714;69.8114275242857;129.494285582857;34.9599996285714;59.3171430328571;36997.2857142857;8673.85714285714;5001.28571428571;9187.28571428571;68.3042864128571;120.871428354286;34.8399996071429;59.1071428585714;7.32817349871123;11.4762607373273;1.91274650523843;0.51425384062953;7
548;2015;3;719;2015-03-14;2015-03-20;45718;7195.42857142857;4707.28571428571;10032.8571428571;84.4028560085714;100.268572125714;32.7942861842857;64.5485714514286;44771.4285714286;6517.57142857143;4686.85714285714;9874.28571428571;82.6585704242857;90.8228563585714;32.6499996171429;63.5285709942857;2.77218561564237;10.5619663696898;1.82434431300683;4.127873614805;7
