DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (R$ ou u.m.c.)
1985-04-30;GM366_ERC366;1985-04-30T00:00:00-03:00;30;4;1985;1,80363636363636e-09
1985-05-01;GM366_ERC366;1985-05-01T00:00:00-03:00;1;5;1985;
1985-05-02;GM366_ERC366;1985-05-02T00:00:00-03:00;2;5;1985;1,81090909090909e-09
1985-05-03;GM366_ERC366;1985-05-03T00:00:00-03:00;3;5;1985;1,81818181818182e-09
1985-05-04;GM366_ERC366;1985-05-04T00:00:00-03:00;4;5;1985;
1985-05-05;GM366_ERC366;1985-05-05T00:00:00-03:00;5;5;1985;
1985-05-06;GM366_ERC366;1985-05-06T00:00:00-03:00;6;5;1985;1,82909090909091e-09
1985-05-07;GM366_ERC366;1985-05-07T00:00:00-03:00;7;5;1985;1,83636363636364e-09
1985-05-08;GM366_ERC366;1985-05-08T00:00:00-03:00;8;5;1985;1,84363636363636e-09
1985-05-09;GM366_ERC366;1985-05-09T00:00:00-03:00;9;5;1985;1,85090909090909e-09
1985-05-10;GM366_ERC366;1985-05-10T00:00:00-03:00;10;5;1985;1,85818181818182e-09
1985-05-11;GM366_ERC366;1985-05-11T00:00:00-03:00;11;5;1985;
1985-05-12;GM366_ERC366;1985-05-12T00:00:00-03:00;12;5;1985;
1985-05-13;GM366_ERC366;1985-05-13T00:00:00-03:00;13;5;1985;1,86909090909091e-09
1985-05-14;GM366_ERC366;1985-05-14T00:00:00-03:00;14;5;1985;1,87636363636364e-09
1985-05-15;GM366_ERC366;1985-05-15T00:00:00-03:00;15;5;1985;1,88363636363636e-09
1985-05-16;GM366_ERC366;1985-05-16T00:00:00-03:00;16;5;1985;1,89090909090909e-09
1985-05-17;GM366_ERC366;1985-05-17T00:00:00-03:00;17;5;1985;1,89818181818182e-09
1985-05-18;GM366_ERC366;1985-05-18T00:00:00-03:00;18;5;1985;
1985-05-19;GM366_ERC366;1985-05-19T00:00:00-03:00;19;5;1985;
1985-05-20;GM366_ERC366;1985-05-20T00:00:00-03:00;20;5;1985;1,90909090909091e-09
1985-05-21;GM366_ERC366;1985-05-21T00:00:00-03:00;21;5;1985;1,91636363636364e-09
1985-05-22;GM366_ERC366;1985-05-22T00:00:00-03:00;22;5;1985;1,92363636363636e-09
1985-05-23;GM366_ERC366;1985-05-23T00:00:00-03:00;23;5;1985;1,93454545454545e-09
1985-05-24;GM366_ERC366;1985-05-24T00:00:00-03:00;24;5;1985;1,94181818181818e-09
1985-05-25;GM366_ERC366;1985-05-25T00:00:00-03:00;25;5;1985;
1985-05-26;GM366_ERC366;1985-05-26T00:00:00-03:00;26;5;1985;
1985-05-27;GM366_ERC366;1985-05-27T00:00:00-03:00;27;5;1985;1,95272727272727e-09
1985-05-28;GM366_ERC366;1985-05-28T00:00:00-03:00;28;5;1985;1,96e-09
1985-05-29;GM366_ERC366;1985-05-29T00:00:00-03:00;29;5;1985;1,96727272727273e-09
1985-05-30;GM366_ERC366;1985-05-30T00:00:00-03:00;30;5;1985;1,97454545454545e-09
1985-05-31;GM366_ERC366;1985-05-31T00:00:00-03:00;31;5;1985;1,98545454545455e-09
1985-06-01;GM366_ERC366;1985-06-01T00:00:00-03:00;1;6;1985;
1985-06-02;GM366_ERC366;1985-06-02T00:00:00-03:00;2;6;1985;
1985-06-03;GM366_ERC366;1985-06-03T00:00:00-03:00;3;6;1985;1,99636363636364e-09
1985-06-04;GM366_ERC366;1985-06-04T00:00:00-03:00;4;6;1985;2,00363636363636e-09
1985-06-05;GM366_ERC366;1985-06-05T00:00:00-03:00;5;6;1985;2,01454545454545e-09
1985-06-06;GM366_ERC366;1985-06-06T00:00:00-03:00;6;6;1985;2,02181818181818e-09
1985-06-07;GM366_ERC366;1985-06-07T00:00:00-03:00;7;6;1985;2,02181818181818e-09
1985-06-08;GM366_ERC366;1985-06-08T00:00:00-03:00;8;6;1985;
1985-06-09;GM366_ERC366;1985-06-09T00:00:00-03:00;9;6;1985;
1985-06-10;GM366_ERC366;1985-06-10T00:00:00-03:00;10;6;1985;2,03272727272727e-09
1985-06-11;GM366_ERC366;1985-06-11T00:00:00-03:00;11;6;1985;2,04e-09
1985-06-12;GM366_ERC366;1985-06-12T00:00:00-03:00;12;6;1985;2,05090909090909e-09
1985-06-13;GM366_ERC366;1985-06-13T00:00:00-03:00;13;6;1985;2,06181818181818e-09
1985-06-14;GM366_ERC366;1985-06-14T00:00:00-03:00;14;6;1985;2,06909090909091e-09
1985-06-15;GM366_ERC366;1985-06-15T00:00:00-03:00;15;6;1985;
1985-06-16;GM366_ERC366;1985-06-16T00:00:00-03:00;16;6;1985;
1985-06-17;GM366_ERC366;1985-06-17T00:00:00-03:00;17;6;1985;2,08e-09
1985-06-18;GM366_ERC366;1985-06-18T00:00:00-03:00;18;6;1985;2,09090909090909e-09
1985-06-19;GM366_ERC366;1985-06-19T00:00:00-03:00;19;6;1985;2,09818181818182e-09
1985-06-20;GM366_ERC366;1985-06-20T00:00:00-03:00;20;6;1985;2,10909090909091e-09
1985-06-21;GM366_ERC366;1985-06-21T00:00:00-03:00;21;6;1985;2,12e-09
1985-06-22;GM366_ERC366;1985-06-22T00:00:00-03:00;22;6;1985;
1985-06-23;GM366_ERC366;1985-06-23T00:00:00-03:00;23;6;1985;
1985-06-24;GM366_ERC366;1985-06-24T00:00:00-03:00;24;6;1985;2,13090909090909e-09
1985-06-25;GM366_ERC366;1985-06-25T00:00:00-03:00;25;6;1985;2,13818181818182e-09
1985-06-26;GM366_ERC366;1985-06-26T00:00:00-03:00;26;6;1985;2,14909090909091e-09
1985-06-27;GM366_ERC366;1985-06-27T00:00:00-03:00;27;6;1985;2,16e-09
1985-06-28;GM366_ERC366;1985-06-28T00:00:00-03:00;28;6;1985;2,16727272727273e-09
1985-06-29;GM366_ERC366;1985-06-29T00:00:00-03:00;29;6;1985;
1985-06-30;GM366_ERC366;1985-06-30T00:00:00-03:00;30;6;1985;
1985-07-01;GM366_ERC366;1985-07-01T00:00:00-03:00;1;7;1985;2,17454545454545e-09
1985-07-02;GM366_ERC366;1985-07-02T00:00:00-03:00;2;7;1985;2,18181818181818e-09
1985-07-03;GM366_ERC366;1985-07-03T00:00:00-03:00;3;7;1985;2,18909090909091e-09
1985-07-04;GM366_ERC366;1985-07-04T00:00:00-03:00;4;7;1985;2,19636363636364e-09
1985-07-05;GM366_ERC366;1985-07-05T00:00:00-03:00;5;7;1985;2,20363636363636e-09
1985-07-06;GM366_ERC366;1985-07-06T00:00:00-03:00;6;7;1985;
1985-07-07;GM366_ERC366;1985-07-07T00:00:00-03:00;7;7;1985;
1985-07-08;GM366_ERC366;1985-07-08T00:00:00-03:00;8;7;1985;2,21090909090909e-09
1985-07-09;GM366_ERC366;1985-07-09T00:00:00-03:00;9;7;1985;2,21818181818182e-09
1985-07-10;GM366_ERC366;1985-07-10T00:00:00-03:00;10;7;1985;2,22545454545455e-09
1985-07-11;GM366_ERC366;1985-07-11T00:00:00-03:00;11;7;1985;2,23272727272727e-09
1985-07-12;GM366_ERC366;1985-07-12T00:00:00-03:00;12;7;1985;2,24e-09
1985-07-13;GM366_ERC366;1985-07-13T00:00:00-03:00;13;7;1985;
1985-07-14;GM366_ERC366;1985-07-14T00:00:00-03:00;14;7;1985;
1985-07-15;GM366_ERC366;1985-07-15T00:00:00-03:00;15;7;1985;2,24727272727273e-09
1985-07-16;GM366_ERC366;1985-07-16T00:00:00-03:00;16;7;1985;2,25454545454545e-09
1985-07-17;GM366_ERC366;1985-07-17T00:00:00-03:00;17;7;1985;2,26181818181818e-09
1985-07-18;GM366_ERC366;1985-07-18T00:00:00-03:00;18;7;1985;2,26909090909091e-09
1985-07-19;GM366_ERC366;1985-07-19T00:00:00-03:00;19;7;1985;2,27636363636364e-09
1985-07-20;GM366_ERC366;1985-07-20T00:00:00-03:00;20;7;1985;
1985-07-21;GM366_ERC366;1985-07-21T00:00:00-03:00;21;7;1985;
1985-07-22;GM366_ERC366;1985-07-22T00:00:00-03:00;22;7;1985;2,28363636363636e-09
1985-07-23;GM366_ERC366;1985-07-23T00:00:00-03:00;23;7;1985;2,29090909090909e-09
1985-07-24;GM366_ERC366;1985-07-24T00:00:00-03:00;24;7;1985;2,29818181818182e-09
1985-07-25;GM366_ERC366;1985-07-25T00:00:00-03:00;25;7;1985;2,30545454545455e-09
1985-07-26;GM366_ERC366;1985-07-26T00:00:00-03:00;26;7;1985;2,31272727272727e-09
1985-07-27;GM366_ERC366;1985-07-27T00:00:00-03:00;27;7;1985;
1985-07-28;GM366_ERC366;1985-07-28T00:00:00-03:00;28;7;1985;
1985-07-29;GM366_ERC366;1985-07-29T00:00:00-03:00;29;7;1985;2,32e-09
1985-07-30;GM366_ERC366;1985-07-30T00:00:00-03:00;30;7;1985;2,32727272727273e-09
1985-07-31;GM366_ERC366;1985-07-31T00:00:00-03:00;31;7;1985;2,33454545454545e-09
1985-08-01;GM366_ERC366;1985-08-01T00:00:00-03:00;1;8;1985;2,34181818181818e-09
1985-08-02;GM366_ERC366;1985-08-02T00:00:00-03:00;2;8;1985;2,34909090909091e-09
1985-08-03;GM366_ERC366;1985-08-03T00:00:00-03:00;3;8;1985;
1985-08-04;GM366_ERC366;1985-08-04T00:00:00-03:00;4;8;1985;
1985-08-05;GM366_ERC366;1985-08-05T00:00:00-03:00;5;8;1985;2,36e-09
1985-08-06;GM366_ERC366;1985-08-06T00:00:00-03:00;6;8;1985;2,36727272727273e-09
1985-08-07;GM366_ERC366;1985-08-07T00:00:00-03:00;7;8;1985;2,37818181818182e-09
1985-08-08;GM366_ERC366;1985-08-08T00:00:00-03:00;8;8;1985;2,38545454545455e-09
1985-08-09;GM366_ERC366;1985-08-09T00:00:00-03:00;9;8;1985;2,39272727272727e-09
1985-08-10;GM366_ERC366;1985-08-10T00:00:00-03:00;10;8;1985;
1985-08-11;GM366_ERC366;1985-08-11T00:00:00-03:00;11;8;1985;
1985-08-12;GM366_ERC366;1985-08-12T00:00:00-03:00;12;8;1985;2,40363636363636e-09
1985-08-13;GM366_ERC366;1985-08-13T00:00:00-03:00;13;8;1985;2,41090909090909e-09
1985-08-14;GM366_ERC366;1985-08-14T00:00:00-03:00;14;8;1985;2,41818181818182e-09
1985-08-15;GM366_ERC366;1985-08-15T00:00:00-03:00;15;8;1985;2,42909090909091e-09
1985-08-16;GM366_ERC366;1985-08-16T00:00:00-03:00;16;8;1985;2,43636363636364e-09
1985-08-17;GM366_ERC366;1985-08-17T00:00:00-03:00;17;8;1985;
1985-08-18;GM366_ERC366;1985-08-18T00:00:00-03:00;18;8;1985;
1985-08-19;GM366_ERC366;1985-08-19T00:00:00-03:00;19;8;1985;2,44727272727273e-09
1985-08-20;GM366_ERC366;1985-08-20T00:00:00-03:00;20;8;1985;2,45454545454545e-09
1985-08-21;GM366_ERC366;1985-08-21T00:00:00-03:00;21;8;1985;2,46181818181818e-09
1985-08-22;GM366_ERC366;1985-08-22T00:00:00-03:00;22;8;1985;2,47272727272727e-09
1985-08-23;GM366_ERC366;1985-08-23T00:00:00-03:00;23;8;1985;2,48e-09
1985-08-24;GM366_ERC366;1985-08-24T00:00:00-03:00;24;8;1985;
1985-08-25;GM366_ERC366;1985-08-25T00:00:00-03:00;25;8;1985;
1985-08-26;GM366_ERC366;1985-08-26T00:00:00-03:00;26;8;1985;2,49090909090909e-09
1985-08-27;GM366_ERC366;1985-08-27T00:00:00-03:00;27;8;1985;2,49818181818182e-09
1985-08-28;GM366_ERC366;1985-08-28T00:00:00-03:00;28;8;1985;2,50909090909091e-09
1985-08-29;GM366_ERC366;1985-08-29T00:00:00-03:00;29;8;1985;2,51636363636364e-09
1985-08-30;GM366_ERC366;1985-08-30T00:00:00-03:00;30;8;1985;2,52727272727273e-09
1985-08-31;GM366_ERC366;1985-08-31T00:00:00-03:00;31;8;1985;
1985-09-01;GM366_ERC366;1985-09-01T00:00:00-03:00;1;9;1985;
1985-09-02;GM366_ERC366;1985-09-02T00:00:00-03:00;2;9;1985;2,54363636363636e-09
1985-09-03;GM366_ERC366;1985-09-03T00:00:00-03:00;3;9;1985;2,56e-09
1985-09-04;GM366_ERC366;1985-09-04T00:00:00-03:00;4;9;1985;2,57818181818182e-09
1985-09-05;GM366_ERC366;1985-09-05T00:00:00-03:00;5;9;1985;2,59454545454545e-09
1985-09-06;GM366_ERC366;1985-09-06T00:00:00-03:00;6;9;1985;2,61090909090909e-09
1985-09-07;GM366_ERC366;1985-09-07T00:00:00-03:00;7;9;1985;
1985-09-08;GM366_ERC366;1985-09-08T00:00:00-03:00;8;9;1985;
1985-09-09;GM366_ERC366;1985-09-09T00:00:00-03:00;9;9;1985;2,62909090909091e-09
1985-09-10;GM366_ERC366;1985-09-10T00:00:00-03:00;10;9;1985;2,64545454545455e-09
1985-09-11;GM366_ERC366;1985-09-11T00:00:00-03:00;11;9;1985;2,66363636363636e-09
1985-09-12;GM366_ERC366;1985-09-12T00:00:00-03:00;12;9;1985;2,68e-09
1985-09-13;GM366_ERC366;1985-09-13T00:00:00-03:00;13;9;1985;2,69818181818182e-09
1985-09-14;GM366_ERC366;1985-09-14T00:00:00-03:00;14;9;1985;
1985-09-15;GM366_ERC366;1985-09-15T00:00:00-03:00;15;9;1985;
1985-09-16;GM366_ERC366;1985-09-16T00:00:00-03:00;16;9;1985;2,71090909090909e-09
1985-09-17;GM366_ERC366;1985-09-17T00:00:00-03:00;17;9;1985;2,72363636363636e-09
1985-09-18;GM366_ERC366;1985-09-18T00:00:00-03:00;18;9;1985;2,73454545454545e-09
1985-09-19;GM366_ERC366;1985-09-19T00:00:00-03:00;19;9;1985;2,74727272727273e-09
1985-09-20;GM366_ERC366;1985-09-20T00:00:00-03:00;20;9;1985;2,76e-09
1985-09-21;GM366_ERC366;1985-09-21T00:00:00-03:00;21;9;1985;
1985-09-22;GM366_ERC366;1985-09-22T00:00:00-03:00;22;9;1985;
1985-09-23;GM366_ERC366;1985-09-23T00:00:00-03:00;23;9;1985;2,77272727272727e-09
1985-09-24;GM366_ERC366;1985-09-24T00:00:00-03:00;24;9;1985;2,78545454545455e-09
1985-09-25;GM366_ERC366;1985-09-25T00:00:00-03:00;25;9;1985;2,79636363636364e-09
1985-09-26;GM366_ERC366;1985-09-26T00:00:00-03:00;26;9;1985;2,80909090909091e-09
1985-09-27;GM366_ERC366;1985-09-27T00:00:00-03:00;27;9;1985;2,82181818181818e-09
1985-09-28;GM366_ERC366;1985-09-28T00:00:00-03:00;28;9;1985;
1985-09-29;GM366_ERC366;1985-09-29T00:00:00-03:00;29;9;1985;
1985-09-30;GM366_ERC366;1985-09-30T00:00:00-03:00;30;9;1985;2,83090909090909e-09
1985-10-01;GM366_ERC366;1985-10-01T00:00:00-03:00;1;10;1985;2,84181818181818e-09
1985-10-02;GM366_ERC366;1985-10-02T00:00:00-03:00;2;10;1985;2,85090909090909e-09
1985-10-03;GM366_ERC366;1985-10-03T00:00:00-03:00;3;10;1985;2,86181818181818e-09
