"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2019","2.688","2.716","2.724","2.570","1.05M","-3.62%"
"11/03/2019","2.789","2.796","2.905","2.753","1.14M","2.76%"
"10/27/2019","2.714","2.366","2.738","2.346","765.38K","18.00%"
"10/20/2019","2.300","2.320","2.342","2.213","786.68K","-0.86%"
"10/13/2019","2.320","2.238","2.384","2.228","850.65K","4.79%"
"10/06/2019","2.214","2.333","2.342","2.187","1.07M","-5.87%"
"09/29/2019","2.352","2.380","2.398","2.207","1.05M","-2.16%"
"09/22/2019","2.404","2.522","2.590","2.380","375.13K","-5.13%"
"09/15/2019","2.534","2.688","2.710","2.506","865.47K","-3.06%"
"09/08/2019","2.614","2.527","2.648","2.496","1.15M","4.73%"
"09/01/2019","2.496","2.288","2.505","2.269","871.52K","9.23%"
"08/25/2019","2.285","2.169","2.310","2.159","449.79K","6.18%"
"08/18/2019","2.152","2.164","2.238","2.120","640.85K","-2.18%"
"08/11/2019","2.200","2.124","2.267","2.086","813.90K","3.82%"
"08/04/2019","2.119","2.078","2.155","2.029","887.93K","-0.09%"
"07/28/2019","2.121","2.175","2.333","2.077","779.94K","-2.21%"
"07/21/2019","2.169","2.242","2.328","2.165","485.48K","-3.64%"
"07/14/2019","2.251","2.462","2.469","2.242","717.19K","-8.23%"
"07/07/2019","2.453","2.460","2.489","2.360","983.92K","1.45%"
"06/30/2019","2.418","2.330","2.445","2.217","574.82K","4.77%"
"06/23/2019","2.308","2.197","2.364","2.195","354.41K","5.58%"
"06/16/2019","2.186","2.389","2.418","2.159","717.66K","-8.42%"
"06/09/2019","2.387","2.335","2.406","2.320","794.56K","2.14%"
"06/02/2019","2.337","2.444","2.475","2.305","779.62K","-4.77%"
"05/26/2019","2.454","2.597","2.643","2.444","422.13K","-5.54%"
"05/19/2019","2.598","2.626","2.700","2.538","604.20K","-1.25%"
"05/12/2019","2.631","2.616","2.670","2.586","525.14K","0.46%"
"05/05/2019","2.619","2.565","2.647","2.514","633.85K","2.03%"
"04/28/2019","2.567","2.578","2.626","2.546","502.81K","0.04%"
"04/21/2019","2.566","2.494","2.580","2.439","333.69K","3.05%"
"04/14/2019","2.490","2.646","2.653","2.478","553.95K","-6.39%"
"04/07/2019","2.660","2.659","2.729","2.651","648.24K","-0.15%"
"03/31/2019","2.664","2.663","2.733","2.632","576.79K","0.08%"
"03/24/2019","2.662","2.724","2.770","2.656","290.09K","-3.31%"
"03/17/2019","2.753","2.786","2.897","2.721","502.57K","-1.50%"
"03/10/2019","2.795","2.835","2.857","2.752","496.11K","-2.44%"
"03/03/2019","2.865","2.845","2.896","2.812","529.22K","0.21%"
"02/24/2019","2.859","2.757","2.908","2.732","441.53K","5.23%"
"02/17/2019","2.717","2.621","2.726","2.600","394.91K","3.50%"
"02/10/2019","2.625","2.650","2.744","2.543","757.10K","1.63%"
"02/03/2019","2.583","2.705","2.733","2.549","656.74K","-5.52%"
"01/27/2019","2.734","2.926","2.983","2.730","405.42K","-13.97%"
"01/20/2019","3.178","3.327","3.361","2.957","465.94K","-8.73%"
"01/13/2019","3.482","3.325","3.722","3.201","919.27K","12.36%"
"01/06/2019","3.099","2.962","3.166","2.910","652.08K","1.81%"
"12/30/2018","3.044","3.125","3.140","2.878","546.91K","-7.84%"
"12/23/2018","3.303","3.758","3.846","3.278","228.95K","-13.44%"
"12/16/2018","3.816","3.620","3.938","3.516","679.47K","-0.29%"
"12/09/2018","3.827","4.590","4.666","3.787","920.61K","-14.73%"
"12/02/2018","4.488","4.527","4.630","4.231","770.27K","-2.69%"
"11/25/2018","4.612","4.068","4.806","3.990","508.21K","7.06%"
"11/18/2018","4.308","4.625","4.864","4.117","822.28K","0.84%"
"11/11/2018","4.272","3.745","4.929","3.735","1.68M","14.87%"
"11/04/2018","3.719","3.471","3.824","3.437","1.11M","13.25%"
"10/28/2018","3.284","3.139","3.318","3.100","654.59K","3.11%"
"10/21/2018","3.185","3.227","3.250","3.102","592.74K","-2.00%"
"10/14/2018","3.250","3.224","3.340","3.155","774.91K","2.82%"
"10/07/2018","3.161","3.182","3.368","3.138","1.20M","0.57%"
"09/30/2018","3.143","3.007","3.261","3.001","1.09M","4.49%"
"09/23/2018","3.008","2.973","3.111","2.951","573.47K","1.04%"
"09/16/2018","2.977","2.774","2.991","2.772","872.51K","7.59%"
"09/09/2018","2.767","2.770","2.869","2.752","747.83K","-0.32%"
"09/02/2018","2.776","2.900","2.904","2.759","609.19K","-4.80%"
"08/26/2018","2.916","2.908","2.931","2.841","349.81K","-0.03%"
"08/19/2018","2.917","2.940","2.993","2.903","540.33K","-0.98%"
"08/12/2018","2.946","2.936","2.974","2.891","587.93K","0.07%"
"08/05/2018","2.944","2.851","2.959","2.822","767.03K","3.19%"
"07/29/2018","2.853","2.794","2.862","2.740","724.08K","1.10%"
"07/22/2018","2.822","2.737","2.831","2.710","285.13K","2.36%"
"07/15/2018","2.757","2.765","2.788","2.704","557.39K","0.18%"
"07/08/2018","2.752","2.839","2.865","2.750","614.05K","-3.71%"
"07/01/2018","2.858","2.920","2.927","2.822","522.07K","-2.26%"
"06/24/2018","2.924","2.926","3.021","2.897","377.74K","-0.71%"
"06/17/2018","2.945","3.051","3.053","2.887","686.53K","-2.55%"
"06/10/2018","3.022","2.927","3.034","2.912","824.28K","4.57%"
"06/03/2018","2.890","2.974","2.987","2.873","700.04K","-2.43%"
"05/27/2018","2.962","2.946","2.988","2.838","397.98K","0.78%"
"05/20/2018","2.939","2.826","2.964","2.806","563.37K","3.23%"
"05/13/2018","2.847","2.825","2.870","2.780","637.38K","1.46%"
"05/06/2018","2.806","2.710","2.820","2.695","793.36K","3.50%"
"04/29/2018","2.711","2.763","2.820","2.700","696.87K","-2.17%"
"04/22/2018","2.771","2.745","2.839","2.706","370.60K","1.17%"
"04/15/2018","2.739","2.753","2.790","2.658","735.77K","0.15%"
"04/08/2018","2.735","2.679","2.760","2.621","966.86K","1.26%"
"04/01/2018","2.701","2.730","2.759","2.650","712.99K","-1.17%"
"03/25/2018","2.733","2.588","2.764","2.565","307.79K","5.48%"
"03/18/2018","2.591","2.683","2.710","2.579","537.68K","-3.61%"
"03/11/2018","2.688","2.731","2.811","2.664","682.91K","-1.61%"
"03/04/2018","2.732","2.717","2.793","2.673","674.65K","1.37%"
"02/25/2018","2.695","2.635","2.731","2.586","614.12K","2.67%"
"02/18/2018","2.625","2.568","2.680","2.555","400.49K","2.62%"
"02/11/2018","2.558","2.554","2.642","2.530","850.84K","-1.01%"
"02/04/2018","2.584","2.825","2.880","2.576","1.03M","-9.21%"
"01/28/2018","2.846","3.390","3.661","2.837","1.16M","-18.80%"
"01/21/2018","3.505","3.252","3.628","3.143","866.69K","10.05%"
"01/14/2018","3.185","3.131","3.288","3.039","1.13M","-0.47%"
"01/07/2018","3.200","2.812","3.224","2.784","1.59M","14.49%"
"12/31/2017","2.795","3.030","3.097","2.746","1.14M","-5.35%"
"12/24/2017","2.953","2.708","3.008","2.598","686.35K","10.72%"
"12/17/2017","2.667","2.650","2.778","2.568","880.13K","2.11%"
"12/10/2017","2.612","2.831","2.848","2.581","1.16M","-5.77%"
"12/03/2017","2.772","3.091","3.127","2.747","1.28M","-9.44%"
"11/26/2017","3.061","2.927","3.218","2.876","830.64K","8.82%"
"11/19/2017","2.813","3.070","3.089","2.797","528.04K","-9.17%"
"11/12/2017","3.097","3.200","3.231","3.046","999.45K","-3.61%"
"11/05/2017","3.213","3.085","3.224","3.051","1.15M","7.67%"
"10/29/2017","2.984","2.938","3.006","2.847","837.10K","8.43%"
"10/22/2017","2.752","3.001","3.017","2.723","407.58K","-5.59%"
"10/15/2017","2.915","2.960","3.026","2.773","1.11M","-2.83%"
"10/08/2017","3.000","2.859","3.036","2.827","1.09M","4.79%"
"10/01/2017","2.863","3.018","3.025","2.856","970.30K","-4.79%"
"09/24/2017","3.007","2.932","3.081","2.898","454.36K","1.62%"
